,Country,Region,Population,Area,Net_migration,GDP_per_capita,Literacy_rate,Birthrate,Deathrate,Unemployment_rate,Infant_mortality,GDP,Main_sector
53,Cyprus,NEAR EAST,784301,9250,0.43,19200,97.6,12.56,7.68,11.8,7.18,15058,Terciario
54,Czech Republic,EASTERN EUROPE,10235455,78866,0.97,15700,99.9,9.02,10.59,7,3.93,160696,Terciario
55,Denmark,WESTERN EUROPE,5450661,43094,2.48,31100,100,11.13,10.36,5.8,4.56,169515,Terciario
56,Djibouti,SUB-SAHARAN AFRICA,486530,23000,0,1300,67.9,39.53,19.31,60,104.13,632,Terciario
57,Dominica,LATIN AMER. & CARIB,68910,754,-13.87,5400,94,15.27,6.73,23,14.15,372,Terciario
58,Dominican Republic,LATIN AMER. & CARIB,9183984,48730,-3.22,6000,84.7,23.22,5.73,5.5,32.38,55103,Terciario
59,East Timor,ASIA (EX. NEAR EAST),1062777,15007,0,500,58.6,26.99,6.24,2.5,47.41,531,Terciario
60,Ecuador,LATIN AMER. & CARIB,13547510,283560,-8.58,3300,92.5,22.29,4.23,5.1,23.66,44706,Terciario
61,Egypt,NORTHERN AFRICA,78887007,1001450,-0.22,4000,57.7,22.94,5.23,12.2,32.59,315548,Terciario
62,El Salvador,LATIN AMER. & CARIB,6822378,21040,-3.74,4800,80.2,26.61,5.78,7,25.1,32747,Terciario
63,Equatorial Guinea,SUB-SAHARAN AFRICA,540109,28051,0,2700,85.7,35.59,15.06,8.6,85.13,1458,Secundario
64,Eritrea,SUB-SAHARAN AFRICA,4786994,121320,0,700,58.6,34.33,9.6,8.6,74.87,3350,Terciario
65,Estonia,BALTICS,1324333,45226,-3.16,12300,99.8,10.04,13.25,8.4,7.87,16289,Terciario
66,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,0,700,42.7,37.98,14.86,17.5,95.32,52344,Primario
67,Faroe Islands,WESTERN EUROPE,47246,1399,1.41,22000,96.1,14.05,8.7,2.8,6.24,1039,Terciario
68,Fiji,OCEANIA,905949,18270,-3.14,5800,93.7,22.55,5.65,5.5,12.62,5254,Terciario
69,Finland,WESTERN EUROPE,5231372,338145,0.95,27400,100,10.45,9.86,8.7,3.57,143339,Terciario
70,France,WESTERN EUROPE,60876136,547030,0.66,27600,99,11.99,9.14,9.5,4.26,1680181,Terciario
71,French Guiana,LATIN AMER. & CARIB,199509,91000,6.27,8300,83,20.46,4.88,5.5,12.07,1655,Terciario
72,French Polynesia,OCEANIA,274578,4167,2.94,17500,98,16.68,4.69,21.8,8.44,4805,Terciario
73,Gabon,SUB-SAHARAN AFRICA,1424906,267667,0,5500,63.2,36.16,12.25,28,53.64,7836,Secundario
74,"Gambia, The ",SUB-SAHARAN AFRICA,1641564,11300,1.57,1700,40.1,39.37,12.25,11.7,72.02,2790,Terciario
75,Gaza Strip,NEAR EAST,1428757,360,1.6,600,75.8,39.45,3.8,26.7,22.93,857,Terciario
76,Georgia,C.W. OF IND. STATES,4661473,69700,-4.7,2500,99,10.41,9.23,11.5,18.59,11653,Terciario
77,Germany,WESTERN EUROPE,82422299,357021,2.18,27600,99,8.25,10.62,3.8,4.16,2274855,Terciario
78,Ghana,SUB-SAHARAN AFRICA,22409572,239460,-0.64,2200,74.8,30.52,9.72,11.9,51.43,49301,Terciario
79,Gibraltar,WESTERN EUROPE,27928,7,0,17500,96.2,10.74,9.31,1,5.13,488,Terciario
80,Greece,WESTERN EUROPE,10688058,131940,2.35,20000,97.5,9.68,10.24,22.3,5.53,213761,Terciario
81,Greenland,NORTHERN AMERICA,56361,2166086,-8.37,20000,97.1,15.93,7.84,9.1,15.82,1127,Secundario
82,Grenada,LATIN AMER. & CARIB,89703,344,-13.92,5000,98,22.08,6.88,33.5,14.62,448,Terciario
83,Guadeloupe,LATIN AMER. & CARIB,452776,1780,-0.15,8000,90,15.05,6.09,6.9,8.6,3622,Terciario
84,Guam,OCEANIA,171019,541,0,21000,99,18.79,4.48,8.4,6.94,3591,Terciario
85,Guatemala,LATIN AMER. & CARIB,12293545,108890,-1.67,4100,70.6,29.88,5.2,2.4,35.93,50403,Terciario
86,Guernsey,WESTERN EUROPE,65409,78,3.84,20000,94.5,8.81,10.01,1.2,4.71,1308,Terciario
87,Guinea,SUB-SAHARAN AFRICA,9690222,245857,-3.06,2100,35.9,41.76,15.48,2.8,90.37,20349,Terciario
88,Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,36120,-1.57,800,42.4,37.22,16.53,3.2,107.17,1153,Primario
89,Guyana,LATIN AMER. & CARIB,767245,214970,-2.07,4000,98.8,18.28,8.28,11.1,33.26,3068,Terciario
90,Haiti,LATIN AMER. & CARIB,8308504,27750,-3.4,1600,52.9,36.44,12.17,40.6,73.45,13293,Terciario
91,Honduras,LATIN AMER. & CARIB,7326496,112090,-1.99,2600,76.2,28.24,5.28,5.9,29.32,19048,Terciario
92,Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,5.24,28800,93.5,7.29,6.29,2.6,2.97,199884,Terciario
93,Hungary,EASTERN EUROPE,9981334,93030,0.86,13900,99.4,9.72,13.11,4.4,8.57,138740,Terciario
